,nLayers,nPerLayer,weightPow,history,avg_err,QSO_err,GAL_err,STAR_err
10,1,64,1,"{'loss': [0.26974382996559143, 0.23330913484096527, 0.21957093477249146, 0.21373894810676575, 0.2096164971590042, 0.2064831554889679, 0.20430466532707214, 0.20247532427310944, 0.20097200572490692, 0.200089693069458], 'val_loss': [0.929661750793457, 0.9312829971313477, 0.9217149019241333, 0.9399209022521973, 0.9018014073371887, 0.9695674777030945, 1.0206233263015747, 0.9994903802871704, 0.9614438414573669, 1.057192087173462]}",1.0560724464488045,0.3815476586249588,0.16250510496945209,2.624615209527926
11,1,64,2,"{'loss': [0.5272267460823059, 0.4620225727558136, 0.44726282358169556, 0.43307292461395264, 0.4248754680156708, 0.4180668890476227, 0.4147019386291504, 0.41077250242233276, 0.40812161564826965, 0.4049663543701172], 'val_loss': [1.334301233291626, 1.2715188264846802, 1.2730754613876343, 1.3275048732757568, 1.326735019683838, 1.2923961877822876, 1.3257381916046143, 1.3694794178009033, 1.3137105703353882, 1.3809635639190674]}",1.3790897114778577,0.4678213251892827,0.5578256138246149,3.1065801555189867
12,1,128,0,"{'loss': [0.3527505397796631, 0.31437909603118896, 0.3042185306549072, 0.29848241806030273, 0.2944304347038269, 0.29205235838890076, 0.2899322807788849, 0.2882693409919739, 0.28669631481170654, 0.2857569456100464], 'val_loss': [0.31997889280319214, 0.30436408519744873, 0.29608243703842163, 0.2935505211353302, 0.29106107354164124, 0.2886345088481903, 0.2917059063911438, 0.2825227379798889, 0.28402361273765564, 0.2857198119163513]}",0.2911990846025922,0.623865884163758,0.06791249207588927,0.1817124659075226
13,1,128,1,"{'loss': [0.26364758610725403, 0.226639524102211, 0.21498189866542816, 0.20956270396709442, 0.2066788375377655, 0.20472663640975952, 0.20333971083164215, 0.20144902169704437, 0.2001294195652008, 0.19888882339000702], 'val_loss': [0.8296860456466675, 0.9287475347518921, 0.9377430081367493, 1.0153148174285889, 0.9959071278572083, 0.9746702909469604, 1.0650205612182617, 1.0683317184448242, 1.0603430271148682, 0.9920538663864136]}",0.9935846881251252,0.36813651375128986,0.16815376190990058,2.4480883662267576
14,1,128,2,"{'loss': [0.5185277462005615, 0.4548111855983734, 0.4349166452884674, 0.4250693619251251, 0.41771137714385986, 0.41247910261154175, 0.40992310643196106, 0.40605416893959045, 0.4047035872936249, 0.4035203754901886], 'val_loss': [1.3537068367004395, 1.3869270086288452, 1.2925657033920288, 1.3444221019744873, 1.2208243608474731, 1.2377318143844604, 1.2577675580978394, 1.3520786762237549, 1.3356345891952515, 1.3184798955917358]}",1.3216538574793804,0.43223026563507017,0.4620843243645466,3.0574830521832013
15,1,256,0,"{'loss': [0.3453616499900818, 0.30739378929138184, 0.2994813919067383, 0.29472464323043823, 0.29213282465934753, 0.29011666774749756, 0.2879227101802826, 0.28655993938446045, 0.2854333221912384, 0.28444722294807434], 'val_loss': [0.3180536925792694, 0.29983580112457275, 0.29339540004730225, 0.29593491554260254, 0.296723872423172, 0.28478583693504333, 0.29257670044898987, 0.28554946184158325, 0.2832911014556885, 0.28486132621765137]}",0.2866536426675588,0.595405289509879,0.06936396862221138,0.19934891032953475
16,1,256,1,"{'loss': [0.2585217356681824, 0.22263862192630768, 0.2132580429315567, 0.209066703915596, 0.2064206600189209, 0.2033177763223648, 0.20166626572608948, 0.20003710687160492, 0.1988055408000946, 0.19787463545799255], 'val_loss': [1.027572751045227, 0.8559064269065857, 1.1069260835647583, 0.9929900765419006, 1.089740514755249, 1.0698463916778564, 1.019036054611206, 1.1241399049758911, 0.9708611369132996, 1.0877509117126465]}",1.087621787286616,0.3673658394453269,0.1492108076409478,2.741642966748088
17,1,256,2,"{'loss': [0.5330473184585571, 0.4714187681674957, 0.45013368129730225, 0.4379107654094696, 0.4319770634174347, 0.4290619194507599, 0.4261263310909271, 0.4233676493167877, 0.42075690627098083, 0.4198102355003357], 'val_loss': [1.4951903820037842, 1.2454664707183838, 1.2963356971740723, 1.2995615005493164, 1.3719664812088013, 1.2674640417099, 1.2205064296722412, 1.3398693799972534, 1.2077220678329468, 1.368723750114441]}",1.3669064739690007,0.4465957933753726,0.5840081004430515,3.0592242565334122
18,2,8,0,"{'loss': [0.36749157309532166, 0.33366528153419495, 0.3228131830692291, 0.31370121240615845, 0.30741822719573975, 0.30304279923439026, 0.29985713958740234, 0.29778552055358887, 0.29588353633880615, 0.2940080165863037], 'val_loss': [0.347377747297287, 0.3353426456451416, 0.3225457966327667, 0.3141469359397888, 0.3101324439048767, 0.30631905794143677, 0.3064745366573334, 0.30312955379486084, 0.2996640205383301, 0.29825347661972046]}",0.2925058741648626,0.6023241314826056,0.08052721124906558,0.19432268573870287
19,2,8,1,"{'loss': [0.285912424325943, 0.24365980923175812, 0.2190198302268982, 0.2048000693321228, 0.1994205266237259, 0.19665545225143433, 0.19506950676441193, 0.1939440369606018, 0.19325488805770874, 0.1929047554731369], 'val_loss': [0.8543092608451843, 0.829541027545929, 0.8876304030418396, 0.8456853032112122, 0.8533210158348083, 0.8034148216247559, 0.8960719704627991, 0.9063733816146851, 0.9494106769561768, 0.9167115092277527]}",0.9162455734976297,0.381111092675283,0.17192903804035575,2.1996391742081345
