Wavelength,Flux,BestFit,SkyFlux
4080.373,52.174,49.902,9.529
4081.314,53.031,49.640,9.985
4082.253,46.079,49.360,9.983
4083.194,46.297,49.398,9.244
4084.134,50.365,49.786,9.487
4085.076,53.294,50.530,9.912
4086.015,54.769,52.197,9.956
4086.955,53.846,52.464,9.555
4087.898,52.662,52.500,9.240
4088.838,53.887,52.387,8.933
4089.781,53.011,51.547,8.795
4090.722,53.392,50.114,8.664
4091.665,48.291,49.542,8.283
4092.606,50.922,49.635,8.421
4093.548,47.106,50.011,8.296
4094.492,53.546,50.899,7.567
4095.434,54.444,51.977,7.162
4096.378,51.482,52.716,7.410
4097.321,52.742,53.739,7.867
4098.265,53.484,54.653,7.859
4099.208,52.439,53.961,7.661
4100.151,55.361,54.063,7.551
4101.097,55.702,55.037,7.034
4102.040,53.103,54.826,6.319
4102.986,52.509,54.852,6.134
4103.930,55.283,55.072,6.126
4104.876,53.715,55.220,6.295
4105.821,53.558,55.309,6.731
4106.768,54.435,55.494,7.146
4107.712,55.592,55.335,7.136
4108.657,54.580,53.762,6.961
4109.605,50.477,53.583,7.055
4110.550,50.757,53.748,7.045
4111.498,56.770,53.854,6.319
4112.444,59.489,54.103,5.746
4113.392,55.944,54.472,6.717
4114.338,57.154,54.338,7.882
4115.285,54.977,53.316,7.981
4116.234,46.824,51.794,7.516
4117.181,45.463,50.154,6.976
4118.130,47.048,48.751,6.632
4119.078,50.661,48.031,6.563
4120.027,55.001,48.318,6.459
4120.975,51.761,48.930,6.534
4121.923,47.241,50.882,7.490
4122.874,49.785,53.117,8.783
4123.822,55.754,54.476,8.785
4124.773,60.476,55.159,7.336
4125.722,58.245,56.139,6.503
4126.673,56.996,55.455,7.765
4127.623,54.053,54.591,9.376
4128.572,52.502,53.916,9.416
4129.524,53.115,52.717,8.483
4130.474,52.456,50.391,8.444
4131.427,46.732,47.799,8.615
4132.377,42.802,47.232,8.076
4133.330,52.782,48.264,8.157
4134.281,51.777,49.844,9.076
4135.232,48.317,51.430,9.315
4136.186,53.578,53.047,8.571
4137.137,56.617,54.659,8.069
4138.091,52.382,55.334,8.616
4139.043,56.167,54.438,8.534
4139.998,58.391,53.194,7.612
4140.950,56.644,52.469,7.370
4141.903,56.784,51.757,8.025
4142.858,55.045,50.288,7.743
4143.811,50.236,50.106,6.526
4144.766,50.310,50.480,6.693
4145.720,47.662,50.444,7.623
4146.676,50.058,50.520,7.330
4147.630,52.209,51.131,6.837
4148.584,53.066,50.082,6.959
4149.541,54.833,49.239,6.701
4150.495,50.712,48.392,6.604
4151.452,45.978,47.782,7.203
4152.407,44.996,48.249,7.791
4153.365,48.302,49.844,7.748
4154.320,52.932,50.542,7.542
4155.276,53.849,50.752,7.790
4156.234,54.915,51.617,9.217
4157.190,44.672,51.831,11.487
4158.149,45.870,51.000,11.163
4159.106,48.952,50.320,9.605
4160.065,50.807,50.194,9.211
4161.022,48.666,50.603,8.841
4161.979,50.528,49.945,9.065
4162.939,49.806,48.885,9.842
4163.896,48.209,48.260,10.463
4164.857,48.193,48.171,11.165
4165.815,49.033,48.886,12.090
4166.775,55.088,50.470,11.045
4167.734,53.815,51.998,10.962
4168.693,50.338,53.200,12.535
4169.654,56.174,53.820,11.043
4170.613,52.924,53.705,10.476
4171.575,51.033,53.596,10.971
4172.535,50.026,53.476,10.685
4173.497,48.684,54.605,10.247
4174.457,51.682,55.669,10.015
4175.417,54.859,55.986,9.852
4176.380,56.013,56.435,10.038
4177.341,58.269,57.079,10.645
4178.304,57.054,55.989,10.551
4179.265,52.188,55.106,9.504
4180.229,51.769,54.276,8.548
4181.191,48.662,52.991,9.342
