,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
143482,1,1,3,4,2,1,4,5,5,1,1,1,1,1
43588,2,2,1,5,1,3,2,5,5,5,1,1,1,1
106116,4,2,5,5,5,4,5,4,2,4,1,2,2,1
56499,2,5,2,1,1,5,3,2,3,2,3,2,2,1
77652,3,2,5,3,2,5,5,4,4,3,1,1,2,1
29797,5,3,5,3,1,3,1,3,1,3,2,2,3,1
30973,5,5,1,1,3,1,3,1,1,5,2,1,1,1
98884,3,1,1,1,1,1,1,2,2,4,1,1,1,1
16961,3,5,1,1,1,5,1,3,5,3,2,1,1,1
100436,2,1,2,5,4,4,3,4,5,1,1,1,1,1
28992,5,3,3,5,3,5,1,3,3,5,1,1,2,1
36204,2,3,2,2,5,3,2,4,4,5,2,1,1,1
126706,3,4,1,3,1,2,3,4,5,3,2,1,1,1
34310,5,5,5,1,5,1,5,5,5,1,2,4,5,1
104661,2,2,5,1,1,5,3,2,5,1,1,1,2,1
124877,1,4,1,1,5,2,2,5,4,3,2,1,1,1
60567,5,3,5,4,2,3,1,1,4,4,2,2,3,1
101306,5,2,5,5,3,1,3,1,2,4,1,2,2,1
37748,1,3,3,2,5,4,3,4,3,2,1,1,1,1
9826,3,1,3,3,5,1,1,3,3,3,1,1,1,5
19188,3,5,3,3,3,3,3,3,5,1,2,3,3,1
23910,5,1,3,3,3,5,5,1,5,5,1,1,1,3
33305,5,5,3,3,5,3,3,5,5,3,2,2,3,1
67210,3,1,3,1,1,3,3,4,3,1,1,1,1,2
1645,1,1,3,1,1,3,5,5,5,5,1,1,1,1
9355,3,1,3,1,5,3,3,1,1,1,1,1,1,2
92309,4,3,1,3,1,2,2,3,1,2,2,1,1,1
65781,1,1,4,2,3,4,2,2,5,2,1,1,1,1
53191,2,2,4,2,2,4,2,2,5,1,1,1,2,1
112262,4,3,2,2,5,1,5,3,2,4,1,1,1,1
35146,5,5,5,5,3,1,1,5,3,1,2,4,5,1
24663,5,1,5,1,1,3,3,5,1,1,1,1,1,2
135073,3,2,4,4,1,1,2,3,3,1,2,2,2,1
110731,1,1,1,5,5,2,5,1,3,2,1,1,1,1
24675,5,1,5,1,1,3,5,3,1,1,1,1,1,2
105162,4,2,1,3,5,5,2,3,4,1,1,1,1,1
26718,5,3,1,3,1,5,1,1,3,3,2,1,1,1
52876,4,1,5,4,3,5,3,1,1,1,1,1,1,1
107401,5,2,2,1,1,4,2,2,1,4,1,1,1,1
21,1,1,1,1,1,1,3,3,5,3,1,1,1,1
127584,3,2,1,1,5,4,1,3,4,4,1,1,1,1
82824,4,4,2,5,2,4,4,2,1,2,2,2,2,1
79404,3,5,5,4,2,5,3,4,2,5,3,4,5,1
34363,5,5,5,1,5,3,5,3,3,5,2,4,5,1
140789,5,5,4,3,1,5,5,5,4,2,2,3,4,1
96926,3,1,2,2,4,2,5,5,2,5,1,1,1,1
123210,4,1,1,2,3,1,2,4,5,3,1,1,1,2
27624,5,3,1,5,5,5,3,1,5,5,1,1,1,1
122642,2,5,5,1,4,2,5,2,2,3,2,4,5,1
89454,2,2,3,2,1,5,1,3,1,1,1,1,1,1
67206,3,5,5,3,1,1,3,3,1,2,3,4,5,1
10288,3,1,3,5,3,3,5,5,3,5,1,1,1,3
86618,4,2,3,2,5,5,5,5,4,3,1,1,1,1
125208,4,2,4,1,4,4,2,1,5,1,1,1,2,1
15176,3,3,3,5,5,3,1,3,5,5,1,1,2,1
89339,4,2,4,2,2,5,2,3,4,2,1,1,1,1
