i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,singlePeak,doublePeak,rotation,phaseAmplitude,t_char,rBLR,FHWM
45.0,500.0,0.05,2.0,0.0,0.5,1.0,0.0,180.0,0.0,False,True,ccw,424425024551225.25,0.8577922055380023,1.486993328227797,12600.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,1.0,0.0,360.0,2.0,True,False,cw,408795181455067.5,0.8577921959046839,1.4869933115283211,12600.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,1.0,0.5,180.0,2.0,True,False,ccw,437788711052408.0,0.9949188891086967,1.4869607083174514,13199.999999999944
45.0,500.0,0.05,2.0,0.0,0.5,1.0,1.0,0.0,-2.0,True,False,cw,519787417400714.4,1.101342771375328,1.4869271812579798,13200.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,1.0,1.0,180.0,0.0,False,True,ccw,501480136676667.5,1.1012956711460222,1.4869134699230884,13800.000000000013
45.0,500.0,0.05,2.0,0.0,0.5,1.0,1.0,360.0,2.0,True,False,cw,483531927636162.6,1.1012498606243153,1.4869183669714947,14400.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,0.0,0.0,360.0,2.0,True,False,cw,467625836221346.6,0.8577519005035501,1.4869234589553355,13800.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,0.0,0.5,180.0,-2.0,True,False,ccw,461987738082782.3,0.8574212050259076,1.4869064763985915,13200.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,0.0,0.5,360.0,0.0,True,False,cw,436269155704350.1,0.8575924402155266,1.486886006954283,13800.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,0.0,1.0,0.0,2.0,True,False,cw,463360283539230.0,0.8577578938462976,1.4868935846145033,14400.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,0.5,0.0,0.0,0.0,True,False,cw,300282971337549.0,0.857690228518783,1.4868165498119603,6899.999999999973
45.0,500.0,0.05,2.0,0.0,1.0,0.5,0.0,180.0,2.0,True,False,ccw,290299005722191.9,0.8576902347228205,1.4868165605667358,7200.000000000006
45.0,500.0,0.05,2.0,0.0,1.0,0.5,0.5,0.0,0.0,True,False,cw,411158028694952.3,1.055558953772069,1.4868132483272514,12899.999999999978
45.0,500.0,0.05,2.0,0.0,1.0,0.5,0.5,360.0,-2.0,True,False,cw,451450497331472.6,1.0556072555545304,1.486825874030597,12899.999999999978
45.0,500.0,0.05,2.0,0.0,1.0,0.5,1.0,0.0,2.0,True,False,cw,460929851525400.8,1.1122949250878122,1.4868650950977946,14400.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,1.0,0.0,0.0,-2.0,True,False,cw,374205362344591.25,0.8577582243770169,1.486934421467693,10199.999999999942
45.0,500.0,0.05,2.0,0.0,1.0,1.0,0.0,360.0,-2.0,True,False,cw,374205362344591.2,0.8577582243770169,1.486934421467693,10199.999999999942
45.0,500.0,0.05,2.0,0.0,1.0,1.0,0.5,180.0,0.0,True,False,ccw,413125067291144.8,0.9929542024115549,1.486899315503597,10200.00000000001
45.0,500.0,0.05,2.0,0.0,1.0,1.0,1.0,0.0,-2.0,True,False,cw,495415471884177.4,1.0918024203710872,1.4868880263642508,13200.000000000013
45.0,500.0,0.05,2.0,0.0,1.0,1.0,1.0,360.0,-2.0,True,False,cw,495415471884177.25,1.0918024203710872,1.4868880263642508,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.0,0.0,0.0,2.0,False,True,cw,315628336034147.4,0.8578530950544082,1.487098880952653,10800.00000000001
45.0,500.0,0.05,2.0,0.5,0.0,0.0,0.0,360.0,0.0,False,True,cw,318313265524620.25,0.8578531252742596,1.4870989333391365,10800.00000000001
45.0,500.0,0.05,2.0,0.5,0.0,0.0,0.5,0.0,2.0,False,True,cw,468061671241748.6,0.8578056403002307,1.487016617553196,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.0,0.5,360.0,2.0,False,True,cw,468061671241748.5,0.8578056403002307,1.487016617553196,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.0,1.0,180.0,-2.0,False,True,ccw,531060478765196.6,0.857789728570102,1.486989034373507,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.0,1.0,360.0,2.0,True,False,cw,504625933994809.75,0.8577853367003246,1.4869814210132832,14400.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.5,0.0,180.0,-2.0,False,True,ccw,424026544380847.1,1.2375138995540322,1.4870772172137603,12000.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.5,0.0,360.0,2.0,False,True,cw,394669570502032.8,1.2374825097074595,1.4870771331349997,12000.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.5,0.5,180.0,0.0,False,True,ccw,492421062198834.56,1.1148859149121635,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.5,1.0,180.0,-2.0,False,True,ccw,531016210997433.75,1.0413590956684038,1.4869890343735068,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,0.5,1.0,360.0,0.0,False,True,cw,516348631739270.4,1.0413291368840574,1.486977189092682,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,1.0,0.0,180.0,-2.0,False,True,ccw,480953048464977.75,1.1438217510344673,1.4870522575119969,12599.999999999944
45.0,500.0,0.05,2.0,0.5,0.0,1.0,0.5,0.0,-2.0,False,True,cw,509019671157502.9,1.2711548214400197,1.4870213179468137,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,1.0,0.5,180.0,0.0,False,True,ccw,493348768666445.6,1.2711089311982673,1.4870138747049086,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,1.0,0.5,360.0,2.0,False,True,cw,483073750309669.0,1.2710601985929313,1.4870165268852849,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,1.0,1.0,180.0,0.0,False,True,ccw,523773035363596.8,1.2248753783084043,1.486977189092682,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.0,1.0,1.0,360.0,2.0,True,False,cw,504358324622992.5,1.2248192898193149,1.4869814210132837,14400.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.0,0.0,360.0,-2.0,False,True,cw,239528566045899.5,0.8577412254981756,1.487093928786154,10800.00000000001
45.0,500.0,0.05,2.0,0.5,0.5,0.0,0.5,0.0,2.0,False,True,cw,428758474146367.3,0.857814947393899,1.4870166175531965,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.0,0.5,360.0,0.0,False,True,cw,449211374796859.0,0.8577760237374187,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.0,1.0,0.0,2.0,True,False,cw,479162881064458.56,0.8577919812753434,1.4869814210132837,14400.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.5,0.0,0.0,2.0,False,True,cw,406464012237448.8,1.210916644073462,1.487029270115795,12000.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.5,0.0,360.0,2.0,False,True,cw,406464012237448.8,1.210916644073462,1.487029270115795,12000.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.5,0.5,180.0,2.0,False,True,ccw,428581933626468.1,1.1148682105031091,1.4870166175531965,13800.000000000013
