,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
968466,GALAXY,0.05019601,15.7657,18.38121,3.167953,8.090855,20.62435,19.27521,18.84728,18.62576,18.56692,3.505422,2.363609,2.649988,2.661977,3.506756
914689,GALAXY,0.1200045,72.33593,98.8039,4.742859,17.22373,21.03301,18.7548,17.69302,17.24941,16.83206,2.518695,3.707901,3.119967,3.201938,3.582327
752701,STAR,-0.0002222988,24.28019,29.5881,0.3841039,5.45889,22.41176,20.45706,19.4231,19.01639,18.76903,7.36,1.199292,0.9583239,0.8533916,1.080745
687116,STAR,-9.006987e-05,127.2868,141.1857,14.91273,52.46764,19.63857,18.12291,17.47503,17.23061,17.10106,1.068973,1.153402,1.044616,0.9709226,1.07239
953283,GALAXY,0.5624937,4.701864,7.952935,-0.09515072,0.1960788,23.2366,22.32022,20.90393,19.69543,19.44261,2.969457,7.358901,3.271326,1.878551,3.304361
1082335,GALAXY,0.7355698,3.246326,5.055691,-0.06302032,0.2802751,25.75581,23.04054,22.01643,20.73759,19.96764,0.2667519,2.970447,2.970369,2.554418,1.529967
970500,GALAXY,0.2726647,41.22856,55.86008,1.176401,4.146045,21.6608,19.60261,18.04749,17.46589,17.11288,3.05668,4.239099,5.102104,5.119353,3.862181
1200610,GALAXY,0.5010652,8.391571,13.44957,-0.001198787,0.6009825,24.86024,22.81499,20.54615,19.61336,19.14811,7.358873,1.238053,2.570084,5.016952,2.125517
1318377,GALAXY,0.1686342,68.62516,92.73092,4.993439,13.28525,20.92669,18.81354,17.60053,17.09822,16.75649,1.953073,4.187523,4.092844,4.109915,3.600569
971451,GALAXY,0.3560031,27.07894,42.16591,0.3290435,2.365461,23.45746,20.57758,18.71883,18.12701,17.81254,0.9241294,2.788061,3.405255,3.2384,3.044657
1286166,GALAXY,0.8055084,4.109825,6.450219,0.5828697,0.9641266,23.72067,22.28356,21.63511,21.1001,20.35993,1.759412,1.383375,1.218211,1.086172,2.897304
468435,STAR,0.0001957219,22.10494,52.77103,-0.07477299,0.5065553,24.50474,22.4077,21.0583,19.05505,18.01161,2.970024,1.288443,1.376949,1.22834,1.417103
881915,GALAXY,0.2151235,20.84819,28.75368,1.411851,3.879159,22.29993,20.74528,19.41185,18.79724,18.49392,2.514148,2.704134,2.419384,2.168584,2.422642
1112587,GALAXY,0.2722609,36.10878,51.37027,1.684355,5.369305,23.09014,19.68153,18.15101,17.61628,17.25133,2.970383,4.82864,5.433524,5.623317,4.938935
250613,QSO,2.306375,28.96725,33.68731,10.69507,22.44939,19.74545,19.08179,19.04237,18.99831,18.81297,1.53313,1.34241,1.339201,1.273477,1.089987
589735,STAR,-6.340952e-05,13.40544,18.37013,0.2357472,2.386221,23.80161,21.70183,20.19385,19.64842,19.49341,0.08866479,1.551653,1.32949,1.283902,1.111725
226094,QSO,1.363326,13.01095,12.56416,10.68511,8.170995,19.41713,19.61364,19.31268,19.33569,19.36579,1.420973,1.433675,1.382673,1.245384,1.436284
805310,STAR,-0.0005527637,30.30596,57.13496,0.4061173,1.965537,24.05521,21.98073,19.88659,18.67142,17.96073,7.357281,1.638851,1.396502,1.199076,6.343668
661839,STAR,6.873268e-05,110.9346,119.4124,12.90312,47.40493,19.8172,18.25588,17.59795,17.36448,17.22856,1.437711,1.411708,1.288586,1.193779,1.249727
816234,STAR,0.0002326367,40.4318,32.88648,56.87827,56.60813,18.19622,18.09942,18.3079,18.51003,18.75212,1.500161,1.612366,1.275301,1.206342,1.142806
542061,STAR,-5.308677e-05,4.636669,10.3022,-0.009660675,0.1328562,24.12396,22.94185,21.90742,20.67875,19.92408,1.253784,2.97008,1.727637,1.657579,1.187232
