,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
444783,0.07224317,53.82988,67.84417,6.25497,17.61456,217.806253272586,-1.04466678215226,20.00782,18.39891,17.67687,17.26739,16.9974,5.209587,4.306047,4.131949,4.009918,3.998425,0,GALAXY
114292,-0.0001556833,73.45787,107.9569,1.054744,8.617785,251.007017000728,42.0135564080954,22.4369,20.09831,18.68074,17.78514,17.27686,2.969782,1.758889,1.526644,1.389357,1.198868,0,STAR
998763,2.539159,16.82274,23.62049,2.738903,5.980193,258.405447506902,31.5835186372192,21.65543,20.66354,19.88214,19.45749,19.15042,1.296688,1.176487,1.167596,1.136976,1.149331,0,QSO
852826,0.1181134,24.58581,32.3881,1.391131,6.199578,115.470471534135,47.0423020909746,19.91017,18.10298,16.96361,16.53655,16.72776,27.91696,8.721659,10.50197,10.82232,7.782658,0,GALAXY
909818,0.8945479,2.543672,4.051347,1.497187,1.625824,139.098875324933,52.1913386080623,22.15621,22.05242,21.83236,21.50386,20.99044,1.494853,1.995142,1.867162,1.739242,11.30937,0,QSO
226298,0.0005878955,12.47694,12.80599,4.325456,8.447955,164.676854580149,45.8993592026018,21.21937,20.14341,19.92996,19.86864,19.87628,2.279966,1.360032,1.465001,1.300194,1.365329,0,STAR
888725,2.301143,0.5903685,0.6767555,1.055982,1.491544,184.901886787601,-2.37906264462148,21.94125,21.57573,21.48948,21.40773,21.68649,1.157099,1.212737,2.970498,3.032124,18.01941,0,QSO
527304,0.0372731,30.36027,35.67213,8.556309,15.47486,228.857944614188,2.39003047175956,19.02201,17.93097,17.60599,17.38564,17.23987,6.608087,6.556623,6.158695,5.572263,5.773311,0,GALAXY
383097,0.0006843461,40.45271,43.30032,11.44454,24.33024,173.431726688616,7.94171209597829,19.97141,18.97739,18.65697,18.53233,18.48134,1.164291,1.34187,1.222026,0.9994876,1.354685,0,STAR
1274378,1.9207,3.918701,4.952145,3.421012,2.965781,1.38809635783514,8.40132547418734,21.72402,21.69352,21.63473,21.44676,21.08796,1.268242,1.165133,1.055945,1.164526,2.01687,0,QSO
1042906,3.304777,0.3293209,0.5393816,-0.182556,1.028331,113.888250426176,23.7056439608109,24.20356,21.86326,21.85345,22.27827,21.71676,1.372683,1.51032,1.391,1.123854,2.536352,0,QSO
