,0,1,2,3,4,5,6,7,8,9,10,11
169763,1.210428,4.053586,4.433404,1.420287,1.946593,159.066288276609,46.750764643773,21.42853,21.12173,20.66483,20.6095,20.38686
87746,-0.000468607,5.238164,5.461667,1.315078,3.251781,181.224343144549,60.0023882108463,23.60519,20.99842,20.46018,20.24882,20.05723
171304,0.4935298,5.547582,8.542553,0.08700111,0.4736331,151.593805986488,46.8739793513501,24.86248,22.18259,20.74657,19.92683,19.42157
5745,0.08557262,84.30621,114.5098,4.379986,19.8829,146.767611713119,1.07468925506464,19.90633,18.18135,17.22556,16.77164,16.44748
102467,1.105423,2.209351,2.104064,1.710954,1.7657,154.828007202067,52.8888631011608,21.65178,21.64391,21.48032,21.3864,21.2601
406482,-0.0001925845,146.296,217.455,2.470227,17.61525,196.081274875031,46.7535358432895,22.14022,19.36362,18.0012,17.11528,16.61869
246802,0.5713961,8.99549,14.24616,0.2720169,0.891668,221.349003262634,8.56370791223422,21.60728,21.16304,19.63756,18.58105,18.20381
128543,0.6786324,5.26824,8.986219,-0.2670354,0.5243522,182.01454165504,62.4660624616244,23.9895,22.70918,21.26392,20.27657,19.69454
33593,0.4906646,2.690567,3.622277,1.53861,1.557759,123.898787717951,42.300455621767,21.89466,21.38022,21.09155,20.6273,20.17231
474516,-0.0002021307,221.0764,275.9915,6.71644,61.63865,209.382200839006,12.4200856511755,23.65431,21.79165,19.6336,18.36064,19.89698
9569,1.541624,3.915332,3.276207,2.517316,2.731699,260.814798347406,26.4768038988457,21.85342,21.43306,21.35019,21.03058,20.90159
136521,-0.000395707,12.5629,12.20712,2.358596,6.986493,258.254837124309,31.6591714651685,21.90985,20.23469,19.4481,19.14919,19.02768
409610,0.2939056,31.58126,41.96692,1.924136,5.430378,132.711458716323,29.3112778317713,21.90277,19.91844,18.35,17.78087,17.46145
206321,0.1533541,82.53477,105.4422,4.861773,19.77733,134.032761537329,5.72006815264905,20.85874,18.92292,17.83186,17.34422,16.99612
223246,0.0003221286,12.50797,22.15838,0.08767898,0.8166522,130.868955600267,6.23003036925721,25.18328,23.47576,21.31288,20.08547,19.53575
472249,-6.940433e-05,24.85792,26.86741,9.533019,16.12804,13.0885321027729,0.449163766171724,20.31319,19.3907,19.11671,19.03146,19.04075
29342,2.433953,4.565747,7.29049,3.404071,3.378599,172.515767102808,1.34905052684224,21.0221,20.37697,20.06561,20.01513,19.55241
86807,5.784948e-05,494.3705,501.8402,220.5212,382.2898,122.105713934871,39.3803230728732,17.13768,15.84453,15.68345,15.64709,15.6484
8234,0.07181122,178.3889,223.8641,19.03532,58.19851,167.402647374543,-0.871851511818178,19.3086,17.46918,16.62757,16.24688,15.92839
246912,0.09996202,43.2481,56.7019,3.367931,11.52313,138.853868421911,40.0288017009972,19.73452,18.13801,17.33566,16.88529,16.5666
36585,1.0527,2.811613,2.386619,2.365737,2.37185,141.871917015709,56.76745257512,21.78425,21.61347,21.59657,21.335,21.92443
58760,0.5044488,6.416046,10.55106,-0.02688994,0.4626882,201.104138841578,3.4051646925413,25.63872,22.52878,21.03848,20.08762,19.66991
187725,-0.0001200181,1470.166,1567.902,266.4637,723.5908,191.308109396129,60.9077500395473,16.74375,15.32014,14.81498,14.61586,14.5364
174279,1.298519,25.66623,22.59345,24.60663,26.66488,258.562832261606,27.3864996371213,19.17381,18.87871,18.71922,18.73867,18.68634
304360,3.004872,3.165399,3.541478,0.5752813,2.020285,221.727369756701,11.1421099020651,23.24921,21.56019,21.35843,21.33692,21.97787
269036,0.6385174,52.99767,50.74377,42.93568,49.06403,190.176367012372,13.753698438412,18.47164,18.08882,18.09773,18.00235,18.10932
489654,0.6167901,6.528942,10.00394,0.04254756,0.4524555,177.070025408063,12.3775861172648,22.25205,22.18711,20.09793,19.19348,18.67435
