,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
195039,-0.0006742981,305.4063,297.8487,213.5471,304.2101,170.1110688308,51.5379798436803,18.24217,17.02503,16.73725,16.64277,16.61123,0,STAR
443377,0.0005299174,121.1277,123.984,27.43614,73.25614,158.843514753099,35.8087215050643,18.54752,17.66477,17.39752,17.31459,17.26754,0,STAR
185191,3.865542e-05,289.4548,328.2307,16.52954,94.58055,125.743023512221,39.359164948532,19.82869,17.53853,16.61806,16.3361,16.16463,0,STAR
1478225,0.8389266,7.002252,9.212937,4.797915,6.119217,238.465724889213,13.8518685882366,21.14483,20.72794,20.62039,20.29849,19.96221,0,QSO
142154,-0.0001525926,103.5849,108.8007,30.64278,65.78287,224.710875816314,-0.902601079059576,18.88887,17.91233,17.58084,17.46614,17.43217,0,STAR
1246856,1.101669,3.116636,3.88695,1.191722,1.665725,172.908717592114,44.0933982396609,22.41018,22.07822,21.60792,21.53922,20.78057,0,QSO
180346,-6.769551e-06,55.83929,63.74298,2.431928,15.61786,322.605015370238,10.9382146013049,21.28907,19.12431,18.12662,17.7538,17.55965,0,STAR
1207119,0.793049,7.851296,10.83922,1.359755,3.462291,214.957601340948,53.5092944763204,22.38748,21.32211,20.78574,20.47638,20.11174,0,QSO
699889,0.4350623,7.970513,12.40886,0.05831473,0.6993407,149.39326475644,53.111425522393,25.61238,21.61929,20.04319,19.25896,18.67344,0,GALAXY
417223,0.002196442,1.175919,1.140058,0.9436161,1.175921,196.207846130241,32.8316523629099,22.43003,21.95103,22.0378,22.12322,21.55695,0,STAR
730973,0.09486596,72.91448,95.83117,8.898394,19.86833,181.715148855403,58.6311223721865,19.55125,17.81302,16.96372,16.47239,16.1335,0,GALAXY
810535,0.108083,25.57139,28.55994,4.935092,11.57217,133.663249958049,36.6539403462217,19.1789,18.12393,17.64695,17.33612,17.1809,0,GALAXY
