,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
285426,0.3959319,14.58005,21.43394,0.3954196,1.532823,125.838866764241,2.62091377458003,22.68027,20.66756,18.98263,18.33084,17.90587,0.8183748,2.969892,5.35103,5.028139,5.357198
410840,0.5398216,13.42668,20.43987,0.8667855,1.941453,217.423193076178,47.0262231214518,22.69347,21.25078,19.99709,19.21804,18.92457,1.069462,1.949206,1.962932,1.582477,2.003752
297605,0.1026375,156.3981,208.106,10.35898,40.24907,180.671818285444,58.0121492754279,19.88428,17.89776,16.89281,16.45145,16.08786,6.73993,3.335067,3.186999,3.146404,3.061353
377352,3.195441,2.969845,2.713631,0.7187871,2.540612,130.342812130267,24.1886339194972,23.26594,21.53166,21.23459,21.17821,21.03452,1.413046,1.700182,1.180777,1.114333,3.163587
403235,0.505107,8.44386,12.55999,0.3353998,1.22418,129.049061255646,13.0678972414677,22.31091,21.63604,20.28242,19.33083,19.10949,1.837133,2.472464,2.192691,1.788515,2.392839
13541,0.0460473,66.27847,79.68346,13.20698,28.312,151.702202243638,0.807042270815546,19.19634,17.91763,17.33215,17.01293,16.78773,2.974324,3.618872,3.901921,4.076188,3.770287
401339,-0.0007031481,120.633,124.9335,40.99654,76.78349,199.858389792973,35.5728329931662,18.76515,17.8917,17.54523,17.41632,17.40805,1.56035,1.216294,1.358474,1.235526,1.231052
155799,0.4989995,15.60221,24.83512,-0.4413541,0.6311106,134.77800073167,28.9704756580347,25.93902,21.62459,19.76235,18.90283,18.42596,2.970399,2.293186,3.154297,2.911724,5.617054
415973,0.07915259,61.16336,64.07971,12.20785,27.91161,217.409283425593,14.4152579760715,19.44395,18.36033,17.85683,17.49353,17.33173,2.487115,2.883018,3.021023,3.074829,2.971365
271218,-0.0006139024,36.61269,39.29836,9.698381,19.17817,220.217486230052,39.2888751501904,20.54806,19.25895,18.79025,18.60731,18.50542,1.331275,1.208406,1.237466,1.151683,1.015993
250459,0.0002531144,48.36818,50.52635,18.13032,31.17879,144.788951231467,36.0688184066462,19.78898,18.75429,18.37865,18.25395,18.18719,1.296847,1.264675,1.162814,1.093295,1.183142
400438,0.0846782,96.69853,124.482,9.967209,28.12666,234.926387779738,28.6876857111772,19.72676,18.14964,17.31651,16.8587,16.51703,5.716558,3.194463,2.971751,2.91905,2.727068
367889,2.582643,5.3723,6.429315,3.268742,4.803816,236.87167805852,22.5425584216902,21.70976,21.06576,21.01309,20.96338,20.64553,1.642815,1.527695,1.308524,3.069904,1.433637
338660,-8.843801e-06,9.577912,10.77379,2.202689,5.08378,111.016097441512,41.6202552616555,22.45186,20.68954,20.28919,20.06227,19.92909,7.359679,1.58075,1.438967,1.59441,1.595024
98857,-0.0004452635,94.98983,93.50164,31.1996,65.07049,169.673711907103,60.735074294463,18.82095,17.91556,17.64346,17.54739,17.52374,1.707217,1.576545,1.506247,1.47041,1.519171
107336,-0.0004273235,20.84872,22.43938,3.894713,10.33671,11.9338473201655,16.0583002010007,21.00772,19.91332,19.41075,19.18869,19.13792,2.031009,1.435696,1.452833,1.363806,1.517276
