,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM,label
56410,48.656706179198935,46717.738291829126,1.8076951382102484,76.45602880941637,0.0410833356532522,0.7445893213626527,0.905427752538727,0.3255703082823005,348.14206939629275,-0.0291752116902075,2.5458845577987788e+16,3317.5240413356287,5020.622926117217,899.9999999999675,singlePeak
133290,57.25144366404002,38174.27930309665,4.849795553191545,25.596420416572155,0.7721476020110998,0.9700921808637932,0.1106378162621052,0.3806267721694101,335.34372189606904,1.151655841027199,5461089267041456.0,6660.019782361775,11013.757244236504,1200.0000000000011,singlePeak
92862,41.88968281136091,16477.51466152349,3.79243511177698,90.12055901437972,0.4449201506107365,0.6499878357207555,0.2133954468396263,0.7142766571838783,72.91679158705597,1.7842413373852848,1.955203838967414e+16,2377.394049175244,3718.965369826863,2400.0000000000023,singlePeak
29743,80.0,25250.0,5.0,51.0,0.0,0.0,0.0,0.5,180.0,0.0,3.376305194057489e+16,4327.888765006644,7502.448352093131,2400.0000000000023,doublePeak
116486,85.31822336238913,22890.973255733083,0.6216511149483066,63.29015120515182,0.1008762551068001,0.3119726050855528,0.752843345251506,0.3076921347816836,13.716586504864722,0.0787777290419184,2.482249796411907e+16,620.5757738415926,846.7247901110543,2100.0000000000355,doublePeak
10395,45.0,500.0,2.525,100.0,1.0,0.0,0.5,1.0,0.0,-2.0,523729779999459.2,49.826526503347296,75.10499284217295,12599.999999999944,doublePeak
15633,45.0,25250.0,5.0,2.0,0.5,1.0,1.0,1.0,360.0,0.0,2.0947048213895924e+16,6078.316378655262,7509.136835288346,1800.0000000000016,singlePeak
8431,45.0,500.0,0.05,51.0,1.0,1.0,1.0,1.0,180.0,0.0,492245515088906.8,1.114905413377696,1.486890423492746,29700.0,singlePeak
143364,66.4830984513749,42718.69644953189,1.9232955141666384,24.08621705590684,0.2272663211853761,0.4275509666204007,0.726108908698612,0.4268882465578431,298.3816777077874,0.7529899179297224,2.090321609144069e+16,4301.624391495453,4886.492843265084,1499.9999999999682,singlePeak
84154,16.831996058796054,41993.0138561409,4.211404881039296,49.42144226692704,0.5197048345647588,0.2720974025704195,0.0125884361905839,0.2187557463708779,179.71310561014528,-0.7185629678716547,2.9619334120824856e+16,6090.707171215967,10515.86239268565,599.999999999934,singlePeak
9999,45.0,500.0,2.525,51.0,1.0,1.0,1.0,1.0,360.0,-2.0,493145275886714.6,56.308114010593336,75.08518087679978,12599.999999999944,doublePeak
81075,35.6503952124643,42810.37976820866,2.976821946167483,82.82307801642513,0.4223130288583442,0.2769226414550377,0.8545529672864149,0.7468673758394282,73.93253748172698,0.7420663955976563,6.413175572739138e+16,5913.414072687753,7578.0443954113825,1200.0000000000011,singlePeak
92792,53.774791903743655,30004.363498547104,3.221561480542472,70.26011070892987,0.1551074852610605,0.3924621556516395,0.4035444432373412,0.4848876203614317,255.19436104616847,-0.497078197706402,3.4982486160781136e+16,4783.988097096914,5749.312852958675,1800.0000000000016,doublePeak
70426,83.64296200067068,35720.638773002815,1.347434278138232,67.15095792068654,0.2440886051852688,0.8030067813071541,0.1391192570354332,0.1766342928310702,110.62075596339793,-0.9526098321006228,1.8509733872974e+16,1695.8985398332632,2859.842164603184,1800.0000000000016,singlePeak
130710,83.52340124413023,47852.66894226684,3.3772015404062152,32.81179325045632,0.3128481067421824,0.0940548076649498,0.9288569453230996,0.6881401697616342,131.32538335792654,-0.6680322587264502,3328583443960859.0,6837.517777457291,9626.074621846024,1200.0000000000011,singlePeak
105042,21.86822944359427,9054.118875004577,4.600710696757433,26.16964419296524,0.950527097709972,0.4114988955516349,0.3963846218785161,0.1549831574341832,216.8811583086351,-0.9110002695697546,1.0590009599112024e+16,1662.4198822041192,2477.0916886526647,1200.0000000000011,singlePeak
105137,26.151121326925853,40608.20979898789,2.7009594361888,52.89748627366334,0.1168531664253896,0.4792511395743486,0.1015947090973879,0.9704617768706976,259.2725138961381,-1.6230274024135922,4.205143291160035e+16,3847.872421128727,6520.089496211774,599.999999999934,doublePeak
29583,80.0,25250.0,5.0,2.0,1.0,0.0,0.5,0.5,180.0,-2.0,1.569629903074543e+16,4595.222484263125,7509.609391467952,1800.0000000000016,singlePeak
139295,36.85881310050244,46560.57359957277,3.1153192208496043,92.24389351685672,0.6523907979102577,0.1642834261014977,0.1559915096274726,0.3238875310103879,278.1982927497974,-0.9312375918131232,2.680210526052632e+16,5404.168086104002,8632.935158836111,599.999999999934,singlePeak
136583,58.76067646631735,49401.41192737197,3.722312890331096,59.61354140662804,0.3759871411371855,0.7174630979721601,0.5914700739543226,0.2696969778740036,107.72207063757396,0.5158566842715313,3.871488072249718e+16,8838.33145166463,10936.728993723002,1200.0000000000011,singlePeak
35464,80.0,50000.0,5.0,100.0,1.0,1.0,0.5,0.5,180.0,2.0,2.4162062990275828e+16,9086.616420374765,14867.261549380592,1200.0000000000011,singlePeak
141375,35.373216250183,38375.46215286856,3.9597002759341433,94.54503098676332,0.1863538498809069,0.6975597595001297,0.1373098699678906,0.6564861408055894,109.3192610160181,0.6430833544602907,4.02386735592905e+16,5605.376346293147,9039.168757058726,1200.0000000000011,doublePeak
55480,22.246765390335376,30779.403860015416,0.0504438178188999,51.288821064865154,0.3566912252033227,0.4335178173985843,0.3408960300105065,0.2465127432665629,160.08600350702855,1.688991873807057,2.195367880147854e+16,62.1654084845636,92.39548724098522,1200.0000000000011,singlePeak
62391,47.673034654522354,21235.87894779152,3.2911070015112767,64.82923485767783,0.5100078903966839,0.0757737865581671,0.3708197579652094,0.4018489096567901,180.42188942732977,-1.75255267791835,1.625027169796215e+16,2975.483162847838,4156.14609018192,1800.0000000000016,singlePeak
40375,68.47236601730138,27785.62407052017,1.6659247323487223,99.55820564339498,0.2636643855482774,0.0445746764492699,0.7677638526400131,0.4370658375935837,107.89321005175428,-1.585797268004121,1.3763162281819356e+16,2552.315419414894,2752.8373303718377,1800.0000000000016,singlePeak
116023,48.65798112004674,2021.5802511121888,4.2587567936342925,71.12918434661675,0.196654394822327,0.0410743134033052,0.4948901953592105,0.7566035270619873,155.4240216642898,-0.6737041427901458,1203578285207344.2,411.35650121519626,511.8220250626876,6600.0000000000055,doublePeak
63921,62.19599333221596,27246.47913973728,0.1720841456815763,77.22313978989446,0.9672248856622532,0.3400561153182743,0.2480033784144684,0.4378947409775579,51.12371531868239,0.0246961598838715,2.926151123051342e+16,173.43948725200062,278.888069069511,1200.0000000000011,singlePeak
28440,80.0,25250.0,2.525,51.0,0.5,0.5,1.0,0.5,180.0,2.0,1.2427693514413388e+16,2695.092308360054,3792.279396267093,1800.0000000000016,singlePeak
22224,80.0,500.0,0.05,51.0,0.5,0.0,0.0,0.0,360.0,-2.0,325627092747758.56,0.8578208909112354,1.4870430546747615,14999.999999999947,doublePeak
119997,13.222983662860674,9187.235685764152,4.948979075702585,46.05006074337386,0.3696318712617217,0.9629506369770215,0.9795472972498046,0.0603524932039684,306.6053497217752,0.9666636281043504,2782828980617845.0,1635.2591344120567,2707.6402558450245,599.999999999934,singlePeak
38280,83.35919999430186,18645.543256603287,0.0870899824124924,64.70207308538242,0.3630905971278699,0.4800170272265994,0.324497751367519,0.4917625588021009,95.76295038161253,-1.926972709712107,1.1395549244556662e+16,59.551009912232246,96.6215304304716,2400.0000000000023,singlePeak
28967,80.0,25250.0,2.525,100.0,0.5,0.5,1.0,0.0,0.0,0.0,1.7202147475470696e+16,2699.9258619936504,3791.019631450945,1800.0000000000016,singlePeak
74045,17.975464395301657,3538.863333767086,0.673145325502308,96.71338487890196,0.9338479917584864,0.53657031370923,0.2478900543956125,0.0698725331738632,97.10328394837882,0.4932931597457388,3687374504555905.5,91.6841043181582,141.76359021891642,1200.0000000000011,singlePeak
114558,14.774922953353247,16222.360342347138,2.22850286986462,15.467629055631663,0.4824746481427491,0.111486835784391,0.5318588764812132,0.3502197342578383,133.9752034546843,1.130165666194893,9837180375621042.0,1357.9256780148123,2150.5812373707395,1200.0000000000011,singlePeak
83420,81.68029551172991,30082.1569184488,2.073138814000348,56.884932187048975,0.7006618322909863,0.911537353865664,0.3990031781872032,0.5304846848707334,333.79118568521784,1.5960499860329231,7340072395943776.0,2257.355010070688,3709.2547823237433,1800.0000000000016,singlePeak
112453,62.84881996013061,37844.53547262241,1.995531842801888,32.68155822526927,0.7526576434395822,0.0708113742910255,0.82602016129142,0.7366133161952684,141.46115040949775,-0.7996409308932151,6242856389297638.0,3374.0886677817634,4491.908100776809,1200.0000000000011,singlePeak
61562,75.8338078246686,12893.988293100245,4.059752137859233,98.98762041705984,0.9043914002363492,0.7287050283690418,0.5139657529282889,0.4897234321062821,194.5495871393794,-1.447452365056176,9880410903966908.0,1967.9764637663225,3116.523068984751,2400.0000000000023,doublePeak
65218,38.47682355174971,36539.599595305226,4.382531861559431,87.10416881852139,0.8017037043648899,0.4092656781533142,0.8402981418870115,0.9485061555795438,181.6456817714272,0.8694509391787468,4.034572498028213e+16,6910.48511683567,9524.851526591228,1200.0000000000011,singlePeak
31882,80.0,50000.0,0.05,100.0,0.0,0.5,0.0,0.0,360.0,-2.0,4.0998331972165576e+16,85.76091522322187,148.6676003072995,1800.0000000000016,doublePeak
69447,62.1584415820403,44796.02526190387,2.0575010782006724,27.54478756136893,0.0515921362537216,0.942714211171801,0.868184718886395,0.0961951576364172,282.1352319987242,-1.3564596069735404,1.810014950999617e+16,3527.604266960898,5482.670836826819,600.0000000000006,singlePeak
24849,80.0,500.0,5.0,2.0,0.5,0.5,1.0,0.0,180.0,0.0,318484002725893.4,105.94085681620544,148.71399144605755,15899.999999999982,doublePeak
62382,64.57438688302906,4392.36694663082,3.4904058386421144,43.45996706751469,0.775641223821004,0.5144972646198963,0.726593257573912,0.7116392772823824,156.7053591960849,0.43545526197002,1590728292391474.5,657.3271967681068,911.8556405508764,4200.000000000004,singlePeak
129052,66.82273682332612,41361.54591076711,3.93736181392248,90.74877314743314,0.4352190257743812,0.6007792360553336,0.4234825207397668,0.3128278459758377,338.5742499808382,-0.12223667232431,1.1266444388088956e+16,6908.202397096288,9684.549359320234,1200.0000000000011,singlePeak
129445,89.28325421625209,6378.859336564423,2.3806892789531373,19.041000573359703,0.8408012582937128,0.4021130363782392,0.4922527268323126,0.8167402376906687,37.55985118331237,1.9976905005864607,4959165201894478.0,524.6238989836547,901.350664275802,4799.999999999938,doublePeak
11565,45.0,500.0,5.0,51.0,1.0,1.0,0.5,1.0,180.0,-2.0,493353798863951.5,98.64057659821856,148.6835264887124,12599.999999999944,doublePeak
87055,55.934748620693696,13394.434735407884,3.187936620983093,24.000435269799222,0.0071904570092286,0.7935648617012663,0.8386979192863695,0.5938831293279349,295.0954643175945,1.4692916352821368,4885064706378888.0,1732.876377767249,2541.13074157676,2400.0000000000023,singlePeak
88446,49.32230714261316,623.7454152946809,1.992177094343224,77.47374256500369,0.825364869578816,0.3685802788828403,0.1937895196390334,0.1498883935498354,93.42160906537264,0.5197756669982851,572930002134717.8,46.888761682695744,73.93770398554632,29700.0,singlePeak
27887,80.0,25250.0,2.525,2.0,0.5,0.5,0.0,0.0,0.0,2.0,1.4642619608080512e+16,2188.213720591659,3792.8721256023578,1800.0000000000016,singlePeak
