,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
13171,QSO,2.31443,0.9986101,0.995375,0.3516607,0.9631968,22.64699,21.78477,21.80478,21.6568,20.9007,1.318286,1.135981,1.208195,1.650719,2.013848
193940,QSO,1.78086,5.678862,5.332113,2.942055,4.370406,21.17468,20.93373,20.83559,20.35867,20.60569,4.307381,1.517054,1.459216,4.508492,1.294786
687624,STAR,0.000199727,99.13858,100.3427,34.19045,60.2969,18.96914,18.02459,17.66042,17.51456,17.49638,1.38006,1.361756,1.235915,1.179487,1.176211
1004949,GALAXY,0.7817649,4.304963,7.560723,-0.1016918,0.2279615,26.03238,24.0479,21.84319,20.63567,19.76157,2.969918,2.969511,1.563124,2.727442,1.276463
211540,QSO,3.382093,19.94238,21.19976,2.192002,8.064637,22.75676,20.38753,19.6729,19.42288,19.24866,1.915668,1.65836,1.167283,1.209526,1.311205
679345,STAR,-0.0001698704,17.14284,17.1804,6.608162,12.78274,20.6809,19.72973,19.38973,19.30539,19.25367,1.371081,1.328371,1.287982,1.164717,1.125834
714149,STAR,-9.580592e-05,95.3661,100.8755,17.43577,46.8012,19.55518,18.23202,17.6568,17.44987,17.31427,1.281381,1.187487,1.105835,1.074098,1.087406
936600,GALAXY,0.8834367,4.09236,8.815902,0.06571606,0.2129473,24.41612,24.71445,21.98292,20.64548,19.80885,1.077954,2.969955,2.027674,2.446933,2.233189
86575,QSO,1.936322,12.23302,16.28029,2.731072,4.773916,21.48642,20.72577,20.41649,20.14295,19.83525,4.572977,1.309559,1.249294,1.246715,1.04878
691589,STAR,-5.470604e-05,80.69994,79.98138,26.11079,55.32685,18.95581,18.039,17.76506,17.68119,17.6548,1.419628,1.175023,1.130949,1.070794,1.164169
333843,QSO,0.9077606,23.79399,25.76347,15.06818,19.33846,19.53294,19.25419,19.03698,19.03141,18.86684,10.65067,1.628551,1.469319,1.470555,3.377655
565406,STAR,-7.304484e-05,31.85934,41.08489,1.082983,7.301443,22.85483,20.33543,19.28719,18.91491,18.71023,2.993653,1.190426,1.166786,1.120726,1.023028
688653,STAR,4.412607e-05,4.824813,10.109,-0.02187512,0.2807467,26.71873,22.85194,21.83468,20.77779,20.1681,2.970636,11.30344,1.146333,1.378377,1.53758
1181028,GALAXY,0.3100776,14.39305,19.02283,0.61906,2.019073,23.6276,20.32881,18.6371,18.06803,17.71331,11.30723,5.13029,4.039627,4.147171,4.875961
825355,STAR,-0.0001318918,94.46349,97.39688,33.05996,60.49919,19.08801,18.03638,17.69214,17.58147,17.56149,1.376373,1.400869,1.362217,1.274175,1.190691
148767,QSO,2.390913,5.107104,6.588271,2.891131,4.587333,20.96418,20.47037,20.26953,20.21523,19.90394,1.6272,2.502017,1.593373,1.198835,1.731144
300832,QSO,2.398762,2.930798,3.791529,0.9675099,1.903481,22.7934,22.11419,21.95991,21.87683,21.54417,1.666855,2.969633,1.279962,0.9748031,1.408688
1294794,GALAXY,0.1747142,29.1015,41.44151,1.410058,5.466605,21.78785,19.99755,18.77753,18.29167,17.93773,2.969829,2.948592,2.271848,2.427359,5.779326
658596,STAR,-0.0001225994,22.38099,23.11548,3.271273,9.229342,21.37266,19.89033,19.3097,19.06131,19.04627,1.85122,1.505428,1.683763,1.334622,1.332367
809314,STAR,0.0005579437,26.43711,28.76574,10.3181,18.11202,20.3612,19.34331,19.01285,18.89324,18.87065,6.600901,1.827461,1.545199,1.500907,3.020664
1285891,GALAXY,0.451437,9.251867,14.37392,0.2308455,0.9561356,25.33336,22.00694,20.24337,19.4193,18.97845,0.7005412,1.81082,2.312296,3.064996,3.533017
1111980,GALAXY,0.4248587,10.32049,15.19832,0.440543,1.234585,23.84066,21.23671,19.54038,18.80837,18.5571,2.970096,3.023299,3.413117,3.364672,3.017792
679917,STAR,0.0001611143,13.33363,31.91462,0.1896955,0.7897803,24.06894,22.85715,21.25687,19.44142,18.38726,1.084311,0.8423251,0.9419028,0.7058363,0.9240294
1307575,GALAXY,0.1283263,85.93745,113.4496,7.834327,23.32716,19.95083,18.25848,17.28538,16.87575,16.53627,2.970237,3.740007,3.462346,3.349449,3.311898
354729,QSO,1.947169,3.088113,3.728275,2.308948,2.130116,22.63762,21.8382,21.8455,21.63946,21.92449,1.499474,1.099618,1.2337,2.085736,2.969346
162709,QSO,1.036082,6.951535,6.931214,5.204183,5.511248,20.57166,20.51066,20.27231,20.36846,20.3377,4.261542,1.216295,1.147629,1.151577,2.284335
1074010,GALAXY,0.2414933,54.53663,70.89294,2.545813,7.76531,21.53984,19.229,17.76105,17.22951,16.88,18.02114,5.832133,5.855961,5.051841,5.364178
354027,QSO,2.579634,2.193673,3.066273,1.816351,2.173493,24.04776,21.96826,21.92221,21.95647,20.78123,1.896532,1.653895,1.157881,1.367116,3.057855
498481,STAR,1.283819e-05,652.6703,667.8981,266.1817,401.4399,16.87495,15.97288,15.63149,15.4845,15.43004,1.34654,1.332083,1.113772,1.053218,1.124227
999275,GALAXY,0.3453063,24.17566,34.39824,0.4718284,2.711627,23.34877,20.77853,19.01521,18.39113,18.09124,0.7737511,3.153859,3.782351,3.093858,3.908486
169535,QSO,2.001212,3.512336,3.891884,5.028272,3.276172,21.51545,21.64269,21.5032,21.10795,21.45485,3.438414,1.691448,1.321962,1.502205,2.555793
1298793,GALAXY,0.1172715,46.04336,53.63747,8.973057,18.39849,19.39194,18.12838,17.4906,17.13099,16.90907,3.510798,4.04941,4.094325,3.986291,4.130719
1281481,GALAXY,0.1176548,72.9107,98.79667,5.66037,18.13508,20.26252,18.21129,17.18031,16.72407,16.41967,3.155117,5.596435,5.481994,6.256,5.068136
778195,STAR,0.0001611833,1.252611,5.230289,-0.08223296,-0.1347957,24.82909,24.5797,23.4514,20.85753,18.91583,2.970296,43.77,1.174538,1.11031,5.331328
83040,QSO,2.068216,13.08997,15.85949,9.669347,9.508259,19.8114,19.64836,19.56903,19.49135,19.33243,1.676213,1.476653,1.326694,1.314421,3.332484
301041,QSO,1.308091,2.661963,3.349598,0.5355607,1.414311,23.35644,22.20505,21.74853,21.65028,21.53325,1.391467,1.199632,1.158321,1.195511,0.3849434
87225,QSO,2.730962,3.573879,3.763004,1.946447,3.072339,22.07636,21.06985,20.92109,20.97204,20.75953,1.253135,1.079001,0.9479262,0.8475279,2.36031
525216,STAR,-0.0002521923,4.433817,4.516559,1.513926,3.074095,22.8796,21.30727,21.09327,21.08541,20.74084,2.142746,1.528473,1.086035,2.918056,5.718054
491284,STAR,-4.77961e-05,278.0239,289.0297,62.73996,153.618,18.26259,16.95151,16.52601,16.37871,16.52477,1.527919,1.570655,1.389841,1.344612,1.385387
1022775,GALAXY,0.08320539,22.25694,26.02893,3.318541,8.670343,19.75512,18.44426,17.87677,17.57068,17.41833,7.061893,7.400349,6.777771,6.73761,6.760842
369631,QSO,2.104857,2.413167,3.54126,2.675452,1.978981,22.00014,21.73093,21.76981,21.88722,21.67419,11.30562,1.136686,1.08586,1.282756,1.887458
463143,STAR,0.0002804524,440.5085,445.5844,137.509,266.5592,17.5948,16.43526,16.00867,15.84064,15.81398,1.610151,1.655995,1.308858,1.237714,1.354579
260028,QSO,1.011683,3.054329,4.323033,1.692265,1.590284,22.01193,21.78147,21.68431,21.76496,22.25652,7.359093,1.634958,1.39017,0.808533,2.970306
1153095,GALAXY,0.5249875,7.7553,11.82765,0.781971,1.334869,22.79356,21.71904,20.43379,19.6403,19.24689,2.970114,1.906211,2.124452,2.480045,2.459897
654046,STAR,-0.0001234015,17.03687,33.37167,0.1707263,1.131712,24.22528,22.01143,20.70364,19.3792,18.5952,0.8021697,1.819488,1.439452,1.328012,9.203238
1265163,GALAXY,0.5277209,7.080781,11.46041,-0.1059613,0.4206006,26.52592,22.23633,20.78399,19.63267,19.27132,2.970224,2.970363,2.911244,2.365236,3.958775
108833,QSO,1.162975,2.212886,2.778294,1.392084,1.519982,22.15465,22.24228,21.52269,21.43371,21.20589,3.169872,1.267674,0.9991769,1.996624,0.8282281
1182388,GALAXY,0.630592,6.452595,10.61183,-0.1565215,0.2567979,23.78109,22.79169,20.99189,19.79312,19.10855,2.969987,2.970983,3.11671,2.324498,4.224137
978201,GALAXY,0.05118122,64.26405,76.85806,10.63509,24.40718,17.61556,16.42682,15.88353,15.5761,15.42877,11.16805,11.22915,11.11122,10.9028,10.242
417309,QSO,0.5239065,4.533245,5.349678,1.938922,2.593595,22.18043,21.68183,21.42074,20.96067,21.25402,1.079387,1.688404,1.280275,1.495188,2.903019
1225521,GALAXY,0.5028732,8.936576,13.95316,0.5662891,1.271027,22.32173,21.84398,20.3771,19.61575,19.19402,2.380826,2.872761,3.58727,2.703767,2.225064
213947,QSO,2.596701,13.0146,15.66989,5.3935,9.326749,20.50552,19.93391,19.76684,19.72805,19.59611,1.673792,1.402394,1.220165,1.139591,1.516196
921353,GALAXY,0.6612808,4.797138,6.594567,0.6978376,1.149616,21.57316,21.15039,20.28127,19.45492,19.05075,18.02111,18.02023,3.226207,6.248412,7.666965
162354,QSO,2.00703,80.65556,97.2487,67.52726,52.9288,18.08731,17.92566,17.80167,17.61938,17.45575,1.72798,1.523471,1.492025,1.297193,1.431909
1294868,GALAXY,0.6178988,6.424055,10.73504,0.1284702,0.5321525,24.1125,22.79663,20.9141,19.68873,19.23347,2.969805,43.7687,2.582973,4.499518,3.452624
455819,STAR,-0.0001269255,50.5,53.46061,3.481316,20.06928,20.5404,18.9138,18.36773,18.20601,18.11961,1.896884,1.648468,1.413932,1.453505,1.634717
599826,STAR,-0.0001861603,88.10365,88.44335,21.32726,47.5885,19.45306,18.25922,17.80722,17.61975,17.53702,1.575279,1.545704,1.542443,1.518927,1.431815
399656,QSO,2.135437,5.166047,6.378816,2.761746,3.839293,22.73131,22.01034,22.02289,21.79022,21.26622,1.422747,1.32841,0.7652741,0.7814067,3.472634
1269338,GALAXY,0.2804692,60.68022,78.976,2.663488,7.954405,21.665,19.38457,17.77672,17.19864,16.88257,1.832295,4.357733,4.397953,4.663049,3.67469
1044156,GALAXY,0.5235718,8.237555,13.26996,0.06921299,0.6641229,24.32621,22.43768,20.88912,19.85129,19.38227,4.585024,27.92666,1.813327,1.511809,4.430095
444867,STAR,4.175253e-05,142.3257,177.8879,2.099638,30.75354,21.66736,19.08997,17.83495,17.3673,17.11123,2.422695,1.441694,1.15227,1.090815,1.186441
736586,STAR,0.000350021,40.82368,41.1144,16.23428,29.0153,19.63789,18.75491,18.4808,18.36803,18.3489,1.251826,1.246396,1.235902,1.007611,0.96631
455744,STAR,9.566391e-05,19.64803,45.71476,-0.05700719,0.7097428,24.50061,22.33742,20.86004,19.23489,18.29092,2.969003,1.14624,0.9788467,1.016617,0.9428344
368581,QSO,4.549804,16.19991,19.97319,-0.5797219,0.3925309,24.07054,23.14717,20.89406,19.68093,19.53663,4.583148,1.236582,1.179573,0.9843161,4.729207
102528,QSO,1.874617,36.29715,36.1603,30.48143,34.39639,18.81736,18.74818,18.74416,18.56709,18.54136,1.428985,1.365361,1.232972,6.348423,1.087645
610553,STAR,0.000414056,15.15182,28.30798,0.1976905,1.436798,24.30684,23.27674,21.67543,20.50654,18.92442,2.970038,2.970299,0.5694838,0.593592,1.393045
1137201,GALAXY,0.1153928,14.95922,17.45942,2.74412,7.607317,20.18602,19.1972,18.78342,18.53182,18.52363,4.894511,4.050521,3.914368,3.703795,3.780502
854283,STAR,-0.0006154414,3.139178,2.896955,0.4684584,1.994038,22.18113,21.54297,21.24052,21.27578,21.30925,0.7621318,1.023058,1.077146,0.8678802,1.012547
15531,QSO,0.5607634,5.288768,5.502215,0.5048347,0.9398206,24.20183,21.92498,21.09183,19.926,19.78084,11.30692,2.969178,2.224498,1.992835,2.013321
767832,STAR,-8.412567e-05,72.74567,85.71123,9.649014,23.81259,22.30554,19.83175,18.55524,18.14748,17.76781,0.8055125,1.061295,1.178754,1.03621,1.17326
753284,STAR,-2.102191e-05,55.64833,116.0563,0.5552751,4.044819,24.48649,20.98216,19.49779,18.1265,17.42168,2.970205,1.17527,0.9653054,0.901754,0.9310188
495716,STAR,0.0002365631,263.8573,270.3893,115.5921,189.2189,17.87412,16.65833,16.3937,16.26393,16.2442,1.699958,1.688024,1.595709,1.436756,1.441364
638274,STAR,-0.0003021993,420.029,417.4143,201.3528,298.8748,17.27142,16.30017,16.0375,15.94995,15.94923,1.336059,1.362717,1.212384,1.104182,1.239073
807478,STAR,-0.0002536362,727.9832,835.0048,26.8931,196.6839,18.78876,16.58328,15.68041,15.28334,15.05687,1.725178,1.526018,1.73787,1.429531,1.415999
956589,GALAXY,0.08797803,209.8159,278.3178,15.4656,56.45969,18.98236,17.12913,16.1256,15.74586,15.37799,5.758165,4.660509,4.78546,4.876184,4.53875
258430,QSO,1.077539,3.016193,3.233881,1.399786,1.814523,21.91074,21.89819,21.4066,21.35732,21.15961,1.58163,2.959316,1.512107,1.417983,3.486977
1268799,GALAXY,0.1872821,82.27106,107.5369,4.587362,15.40235,20.53553,18.58554,17.3343,16.85921,16.519,3.708146,4.673061,4.309155,4.258867,3.786163
759004,STAR,-0.0005390565,53.54972,67.10898,2.21622,9.144069,22.06954,19.99633,18.69938,18.18553,17.90891,1.221138,1.038185,0.8794726,0.7938727,0.8946432
357209,QSO,2.327571,2.438603,2.961904,0.2319236,1.644775,21.99259,22.0069,21.72897,22.16923,21.25029,2.18279,1.768745,1.534296,1.295671,2.422082
1078783,GALAXY,0.3946234,11.24497,15.16202,0.3964923,1.57902,24.53002,21.00948,19.22352,18.59057,18.21212,11.3113,3.092106,4.151982,4.256697,3.64699
194701,QSO,1.39103,9.008897,9.223159,10.50955,7.715761,20.70084,20.74203,20.55457,20.47527,20.42951,1.768042,1.295753,1.143199,1.193914,3.423282
224978,QSO,1.776583,2.666442,2.559448,1.225339,1.72816,21.4661,21.20545,21.23694,20.74739,20.82149,2.267545,1.259288,1.480391,1.039952,1.145715
541100,STAR,-0.0001998274,51.5659,88.15812,0.4229087,4.414317,24.53643,20.90156,19.27958,18.03107,17.49246,2.968103,1.641412,1.282964,1.538808,1.85915
1059004,GALAXY,0.1343144,38.40437,48.4116,3.90045,11.29594,19.57727,18.12137,17.32516,16.94492,16.69638,6.420469,8.347993,6.624986,5.820796,5.765317
182945,QSO,0.8695161,4.514311,5.518062,3.22914,3.908909,21.2827,21.04634,20.91059,20.82413,20.62704,3.675571,1.492762,1.857812,1.60308,1.138319
596649,STAR,-0.0001041697,41.56416,44.67302,6.510879,19.59955,20.92906,19.23468,18.60364,18.37318,18.32221,2.07688,1.851138,2.182293,2.091196,1.863539
494407,STAR,-9.481603e-05,83.21103,197.6536,-0.1282904,2.526902,24.42506,21.24792,19.58766,17.6519,16.635,2.969162,1.978344,1.493824,1.3934,1.506482
1089955,GALAXY,0.5118977,16.80355,27.82569,-0.04105391,1.05574,26.46537,21.30482,19.69422,18.82067,18.31433,2.970089,2.872241,3.619373,3.344352,3.320405
121105,QSO,1.892788,36.19989,39.20306,21.4858,24.50769,19.24509,19.02018,18.98108,18.72041,18.71933,1.726126,1.747021,1.693254,1.497339,1.510431
