,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
287445,QSO,1.117086,6.696591,6.960829,4.2564,5.057304,20.51687,20.45478,20.19439,20.27463,20.35433
758871,STAR,-0.0001369571,110.6537,112.3256,21.67686,59.04094,19.29948,18.0537,17.55385,17.38102,17.30243
458488,QSO,0.6114095,4.03705,5.781455,0.3797985,0.9593422,22.7509,22.00475,21.46081,20.71627,20.35496
1223658,GALAXY,0.6321727,6.20448,10.24893,-0.04004884,0.3582704,26.61291,22.0826,20.52204,19.37133,19.00261
251661,QSO,1.008778,2.838742,3.587034,2.148137,2.24638,20.88491,20.76797,20.4925,20.52636,20.75532
1414453,GALAXY,0.4836185,13.00793,20.68485,0.04315287,1.054191,23.00401,21.72648,20.10693,19.23469,18.70149
424168,QSO,2.164894,3.167888,4.065977,2.436709,3.150241,21.9269,21.31176,21.19164,21.12453,20.80538
540010,STAR,-2.542509e-05,5.788269,11.49775,-0.02360578,0.3115279,24.86631,23.12974,21.84564,20.56072,20.09247
227462,QSO,3.134568,3.565207,3.076338,0.7938942,2.196493,25.57761,22.24786,22.11228,21.77798,21.48372
436620,QSO,1.384265,8.499215,9.071627,4.912663,4.293519,19.63642,19.7262,19.44549,19.38371,19.2756
1090032,GALAXY,0.6704479,5.267894,9.235068,0.1015341,0.3054455,23.94848,23.49969,21.52489,20.36151,19.65447
30712,QSO,1.193421,28.872,27.35346,17.42183,19.96152,19.71834,19.61973,19.20424,19.1513,19.19015
648881,STAR,-0.001028042,117.7268,117.4725,61.81538,90.26929,18.51029,17.5874,17.36334,17.28791,17.297
111524,QSO,0.9476935,1.755768,2.350015,0.8301257,1.02062,21.69881,21.55222,21.13887,21.22573,20.84964
1217737,GALAXY,0.4945641,7.126285,11.36702,0.2317847,0.7088016,25.1488,22.65115,20.79438,19.90202,19.39491
1008402,GALAXY,0.2786633,52.70932,73.60307,2.646212,6.714712,22.63958,19.83066,18.19586,17.59392,17.25839
